Paper,Subtribes,Municipality,Long,Lat,Species,contagem
Azevedo et al. 1993,Lutzomyiina,Porto Velho,-63.133333,-8.833333,Lutzomyia evangelistai,10
Azevedo et al. 1993,Lutzomyiina,Porto Velho,-63.133333,-8.833333,Lutzomyia gomezi,33
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Bichromomyia flaviscutellata,3
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Nyssomyia anduzei,2
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Nyssomyia fraihai,123
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Nyssomyia richardwardi,265
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Nyssomyia shawi,5
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Nyssomyia umbratilis,228
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psathyromyia bigeniculata,9
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psathyromyia brasiliensis,1
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psathyromyia dendrophyla,6
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psathyromyia punctigeniculata,2
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus amazonensis,5
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus ayrozai,15
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus carrerai,197
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus claustrei,2
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus davisi,23
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus lainsoni,7
Biancardi et al. 1982,Psychodopygina,Ariquemes,-63.0408,-9.91333,Psychodopygus guyanensis,1
Biancardi et al. 1982,Psychodopygina,Ji-Paraná,-61.9517,-10.8853,Psychodopygus guyanensis,1
Biancardi et al. 1982,Psychodopygina,Porto Velho,-63.9039,-8.76194,Psathyromyia dasymera,1
Biancardi et al. 1982,Psychodopygina,Porto Velho,-63.9039,-8.76194,Psychodopygus guyanensis,1
Costa et al. 2021,Brumptomyiina,Costa Marques,-64.16088889,-12.43402778,Brumptomyia brumpti,1
Costa et al. 2021,Brumptomyiina,Costa Marques,-64.16088889,-12.43402778,Brumptomyia pintoi,1
Costa et al. 2021,Brumptomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Brumptomyia brumpti,1
Costa et al. 2021,Brumptomyiina,São Francisco do Guaporé,-63.66675,-12.08458333,Brumptomyia mesai,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Pintomyia nevesi,3
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Pintomyia serrana,5
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Pressatia calcarata,8
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Pressatia trispinosa,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Sciopemyia fluviatilis,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Sciopemyia vattierae,2
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Evandromyia georgii,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Evandromyia piperiformis,2
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Evandromyia walkeri,10
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Evandromyia williamsi,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Evandromyia wilsoni,2
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Lutzomyia sherlocki,5
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Pintomyia fiocruzi,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Pintomyia nevesi,2
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Pressatia calcarata,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.17816667,-12.45775,Evandromyia saulensis,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.17816667,-12.45775,Pressatia calcarata,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.17816667,-12.45775,Pressatia trispinosa,2
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Evandromyia piperiformis,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Evandromyia walkeri,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Evandromyia wilsoni,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Lutzomyia sherlocki,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Pintomyia fiocruzi,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.03819444,-9.465527778,Evandromyia wilsoni,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.03819444,-9.465527778,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.03819444,-9.465527778,Sciopemyia vattierae,2
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.01944444,-9.450805556,Evandromyia walkeri,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.01944444,-9.450805556,Evandromyia wilsoni,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.01944444,-9.450805556,Sciopemyia servulolimai,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.01944444,-9.450805556,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.00872222,-9.450611111,Sciopemyia sordellii,3
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Evandromyia apurinan,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Evandromyia carmelinoi,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Evandromyia lenti,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Evandromyia saulensis,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Evandromyia walkeri,11
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Lutzomyia sherlocki,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Sciopemyia sordellii,4
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Sciopemyia vattierae,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Trichopygomyia dasypodogeton,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.173,-11.64225,Evandromyia bacula,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.173,-11.64225,Evandromyia saulensis,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.173,-11.64225,Evandromyia walkeri,5
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.173,-11.64225,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.173,-11.64225,Sciopemyia vattierae,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.15202778,-11.68477778,Evandromyia walkeri,2
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.15202778,-11.68477778,Evandromyia wilsoni,2
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.15202778,-11.68477778,Sciopemyia servulolimai,1
Costa et al. 2021,Lutzomyiina,São Francisco do Guaporé,-63.66675,-12.08458333,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,São Francisco do Guaporé,-63.65294444,-12.09188889,Evandromyia georgii,3
Costa et al. 2021,Lutzomyiina,São Francisco do Guaporé,-63.65294444,-12.09188889,Evandromyia piperiformis,1
Costa et al. 2021,Lutzomyiina,São Francisco do Guaporé,-63.65294444,-12.09188889,Lutzomyia sherlocki,2
Costa et al. 2021,Lutzomyiina,São Francisco do Guaporé,-63.65294444,-12.09188889,Sciopemyia sordellii,5
Costa et al. 2021,Lutzomyiina,São Francisco do Guaporé,-63.65294444,-12.09188889,Sciopemyia vattierae,1
Costa et al. 2021,Lutzomyiina,São Francisco do Guaporé,-63.56025,-12.08402778,Lutzomyia sherlocki,1
Costa et al. 2021,Lutzomyiina,São Francisco do Guaporé,-63.56025,-12.08402778,Pintomyia nevesi,3
Costa et al. 2021,Lutzomyiina,São Francisco do Guaporé,-63.53819444,-12.07675,Evandromyia walkeri,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.30261111,-12.43444444,Nyssomyia antunesi,11
Costa et al. 2021,Psychodopygina,Costa Marques,-64.30261111,-12.43444444,Nyssomyia delsionatali,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.30261111,-12.43444444,Nyssomyia whitmani,4
Costa et al. 2021,Psychodopygina,Costa Marques,-64.30261111,-12.43444444,Psathyromyia campbelli,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.30261111,-12.43444444,Psychodopygus carrerai,26
Costa et al. 2021,Psychodopygina,Costa Marques,-64.30261111,-12.43444444,Psychodopygus davisi,3
Costa et al. 2021,Psychodopygina,Costa Marques,-64.30261111,-12.43444444,Psychodopygus hirsutus,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.30261111,-12.43444444,Trichophoromyia clitella,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.30261111,-12.43444444,Trichophoromyia ubiquitalis,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.28894444,-12.43611111,Nyssomyia antunesi,49
Costa et al. 2021,Psychodopygina,Costa Marques,-64.28894444,-12.43611111,Nyssomyia whitmani,3
Costa et al. 2021,Psychodopygina,Costa Marques,-64.28894444,-12.43611111,Psathyromyia bigeniculata,21
Costa et al. 2021,Psychodopygina,Costa Marques,-64.28894444,-12.43611111,Psathyromyia dendrophyla,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.28894444,-12.43611111,Psathyromyia elizabethdorvalae,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.28894444,-12.43611111,Psathyromyia hermanlenti,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.28894444,-12.43611111,Psathyromyia scaffi,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.28894444,-12.43611111,Psychodopygus davisi,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.28894444,-12.43611111,Psychodopygus llanosmartinsi,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.17816667,-12.45775,Bichromomyia flaviscutellata,2
Costa et al. 2021,Psychodopygina,Costa Marques,-64.17816667,-12.45775,Bichromomyia olmeca nociva,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.17816667,-12.45775,Psathyromyia aragaoi,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.17816667,-12.45775,Psychodopygus davisi,3
Costa et al. 2021,Psychodopygina,Costa Marques,-64.16088889,-12.43402778,Bichromomyia flaviscutellata,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.16088889,-12.43402778,Nyssomyia antunesi,3
Costa et al. 2021,Psychodopygina,Costa Marques,-64.16088889,-12.43402778,Psathyromyia elizabethdorvalae,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.16088889,-12.43402778,Psathyromyia hermanlenti,39
Costa et al. 2021,Psychodopygina,Costa Marques,-64.16088889,-12.43402778,Psychodopygus amazonensis,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.16088889,-12.43402778,Psychodopygus davisi,1
Costa et al. 2021,Psychodopygina,Costa Marques,-64.16088889,-12.43402778,Psychodopygus llanosmartinsi,2
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Bichromomyia flaviscutellata,6
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Nyssomyia antunesi,9
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Nyssomyia delsionatali,2
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Nyssomyia fraihai,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Nyssomyia richardwardi,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Nyssomyia umbratilis,4
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Nyssomyia urbinattii,2
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Nyssomyia whitmani,6
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Psathyromyia elizabethdorvalae,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Psathyromyia lutziana,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Psathyromyia pradobarrientosi,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Psychodopygus carrerai,2
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Psychodopygus davisi,5
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Psychodopygus geniculatus,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Psychodopygus hirsutus,2
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Trichophoromyia clitella,2
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.05383333,-9.509,Trichophoromyia ubiquitalis,5
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.03819444,-9.465527778,Nyssomyia antunesi,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.03819444,-9.465527778,Nyssomyia urbinattii,5
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.03819444,-9.465527778,Nyssomyia whitmani,3
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.03819444,-9.465527778,Psathyromyia elizabethdorvalae,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.03819444,-9.465527778,Psathyromyia lutziana,3
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.03819444,-9.465527778,Psychodopygus bispinosus,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.03819444,-9.465527778,Psychodopygus claustrei,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.03819444,-9.465527778,Psychodopygus davisi,6
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.03819444,-9.465527778,Trichophoromyia ubiquitalis,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Bichromomyia flaviscutellata,7
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Bichromomyia olmeca nociva,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Nyssomyia antunesi,4
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Nyssomyia delsionatali,8
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Nyssomyia urbinattii,23
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Nyssomyia whitmani,3
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Psathyromyia elizabethdorvalae,5
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Psathyromyia hermanlenti,60
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Psathyromyia lutziana,5
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Psychodopygus claustrei,6
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Psychodopygus davisi,40
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.01944444,-9.450805556,Psychodopygus llanosmartinsi,2
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.00872222,-9.450611111,Bichromomyia flaviscutellata,3
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.00872222,-9.450611111,Nyssomyia antunesi,3
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.00872222,-9.450611111,Nyssomyia urbinattii,21
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.00872222,-9.450611111,Nyssomyia whitmani,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.00872222,-9.450611111,Psathyromyia bigeniculata,1
Costa et al. 2021,Psychodopygina,Machadinho d'Oeste,-62.00872222,-9.450611111,Psychodopygus davisi,4
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Nyssomyia antunesi,10
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Nyssomyia delsionatali,7
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Nyssomyia fraihai,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Nyssomyia umbratilis,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Nyssomyia urbinattii,3
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Nyssomyia whitmani,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Psathyromyia abunaensis,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Psathyromyia dendrophyla,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Psathyromyia lutziana,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Psathyromyia pradobarrientosi,4
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Psychodopygus carrerai,6
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Psychodopygus chagasi,3
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Psychodopygus claustrei,3
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Psychodopygus complexus,5
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Psychodopygus davisi,82
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Psychodopygus hirsutus,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Psychodopygus llanosmartinsi,41
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Trichophoromyia flochi,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18577778,-11.65563889,Viannamyia furcata,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18522222,-11.63466667,Nyssomyia antunesi,2
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18522222,-11.63466667,Psychodopygus davisi,16
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.18522222,-11.63466667,Psychodopygus llanosmartinsi,3
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.173,-11.64225,Nyssomyia antunesi,2
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.173,-11.64225,Nyssomyia urbinattii,4
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.173,-11.64225,Nyssomyia whitmani,2
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.173,-11.64225,Psathyromyia dendrophyla,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.173,-11.64225,Psathyromyia hermanlenti,6
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.173,-11.64225,Psathyromyia lutziana,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.173,-11.64225,Psychodopygus davisi,10
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.173,-11.64225,Psychodopygus llanosmartinsi,2
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.15202778,-11.68477778,Nyssomyia antunesi,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.15202778,-11.68477778,Psathyromyia hermanlenti,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.15202778,-11.68477778,Psathyromyia pradobarrientosi,1
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.15202778,-11.68477778,Psychodopygus chagasi,2
Costa et al. 2021,Psychodopygina,Pimenta Bueno,-61.15202778,-11.68477778,Psychodopygus davisi,5
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.66675,-12.08458333,Psychodopygus llanosmartinsi,2
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.65294444,-12.09188889,Bichromomyia flaviscutellata,2
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.65294444,-12.09188889,Nyssomyia whitmani,2
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.65294444,-12.09188889,Psathyromyia aragaoi,2
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.65294444,-12.09188889,Psathyromyia elizabethdorvalae,1
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.65294444,-12.09188889,Psathyromyia hermanlenti,4
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.65294444,-12.09188889,Psychodopygus claustrei,2
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.65294444,-12.09188889,Psychodopygus davisi,1
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.56025,-12.08402778,Bichromomyia flaviscutellata,2
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.56025,-12.08402778,Nyssomyia antunesi,4
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.56025,-12.08402778,Psathyromyia hermanlenti,1
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.56025,-12.08402778,Psathyromyia lutziana,1
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.56025,-12.08402778,Psychodopygus davisi,4
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.54988889,-12.13141667,Bichromomyia flaviscutellata,5
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.54988889,-12.13141667,Nyssomyia antunesi,2
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.54988889,-12.13141667,Nyssomyia urbinattii,2
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.54988889,-12.13141667,Psychodopygus chagasi,5
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.54988889,-12.13141667,Psychodopygus davisi,2
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.54988889,-12.13141667,Psychodopygus geniculatus,1
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.54988889,-12.13141667,Psychodopygus llanosmartinsi,3
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.53819444,-12.07675,Psathyromyia pradobarrientosi,3
Costa et al. 2021,Psychodopygina,São Francisco do Guaporé,-63.53819444,-12.07675,Psychodopygus hirsutus,1
Costa et al. 2021,Sergentomyiina,Costa Marques,-64.30261111,-12.43444444,Micropygomyia trinidadensis,9
Costa et al. 2021,Sergentomyiina,Costa Marques,-64.28894444,-12.43611111,Micropygomyia echinatopharynx,1
Costa et al. 2021,Sergentomyiina,Costa Marques,-64.17816667,-12.45775,Micropygomyia rorotaensis,1
Costa et al. 2021,Sergentomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Micropygomyia rorotaensis,1
Costa et al. 2021,Sergentomyiina,Machadinho d'Oeste,-62.03819444,-9.465527778,Micropygomyia villelai,3
Costa et al. 2021,Sergentomyiina,Machadinho d'Oeste,-62.01944444,-9.450805556,Micropygomyia rorotaensis,1
Costa et al. 2021,Sergentomyiina,Machadinho d'Oeste,-62.01944444,-9.450805556,Micropygomyia villelai,3
Galardo et al. 2015,Brumptomyiina,Porto Velho,-64.424888888889,-9.4192222222222,Brumptomyia travassosi,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Evandromyia bacula,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Evandromyia brachyphalla,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Evandromyia evandroi,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Evandromyia infraspinosa,9
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Evandromyia monstruosa,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Evandromyia saulensis,12
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Evandromyia walkeri,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Evandromyia williamsi,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Lutzomyia carvalhoi,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Pintomyia damascenoi,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Pressatia choti,8
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Sciopemyia fluviatilis,4
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Sciopemyia sordellii,20
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.744222222222,-9.4095555555556,Trichopygomyia trichopyga,5
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.424888888889,-9.4192222222222,Evandromyia bacula,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.424888888889,-9.4192222222222,Evandromyia brachyphalla,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.424888888889,-9.4192222222222,Evandromyia evandroi,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.424888888889,-9.4192222222222,Evandromyia infraspinosa,9
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.424888888889,-9.4192222222222,Evandromyia monstruosa,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.424888888889,-9.4192222222222,Evandromyia saulensis,11
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.424888888889,-9.4192222222222,Evandromyia walkeri,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.424888888889,-9.4192222222222,Evandromyia williamsi,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.424888888889,-9.4192222222222,Migonemyia migonei,1
Galardo et al. 2015,Lutzomyiina,Porto Velho,-64.424888888889,-9.4192222222222,Pintomyia damascenoi,1
